"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20025143," 25143 Itokawa (1998 SF36)",Y,Y,0,0.33,2.1e-9,,,,1.52
20025330," 25330 (1999 KV4)",Y,N,0,3.21,,,,,1.91
20025916," 25916 (2001 CP44)",Y,N,0,5.683,,,,,4.09
20026760," 26760 (2001 KP41)",Y,N,0,5.400,,,,,4.82
20026817," 26817 (1987 QB)",Y,N,0,1.172,,,,,4.7
20027346," 27346 (2000 DN8)",Y,N,0,1.802,,,,,2.57
20029075," 29075 (1950 DA)",Y,Y,0,1.3,,,,,2.21
20033342," 33342 (1998 WT24)",Y,Y,0,0.432,,,,,0.609
20035107," 35107 (1991 VH)",Y,Y,1,0.929,,,,,1.21
20035396," 35396 (1997 XF11)",Y,Y,0,0.704,,,,,1.73
20036183," 36183 (1999 TX16)",Y,N,0,2.339,,,,,1.93
20038086," 38086 Beowulf (1999 JB)",Y,N,0,0.643,,,,,1.69
20038091," 38091 (1999 JT3)",Y,N,0,2.517,,,,,3.2
20039572," 39572 (1993 DQ1)",Y,Y,0,1.554,,,,,2.91
20039796," 39796 (1997 TD)",Y,N,0,2.131,,,,,3.38
20040263," 40263 (1999 FQ5)",Y,N,0,0.954,,,,,1.83
20040267," 40267 (1999 GJ4)",Y,N,0,1.641,,,,,1.55
20041429," 41429 (2000 GE2)",Y,Y,0,0.204,,,,,2.01
20048603," 48603 (1995 BC2)",Y,N,0,0.844,,,,,2.66
20052387," 52387 Huitzilopochtli (1993 OM7)",Y,N,0,0.890,,,,,1.45
20052750," 52750 (1998 KK17)",Y,N,0,1.059,,,,,1.7
20052760," 52760 (1998 ML14)",Y,Y,0,1.0,,,,,3.74
20052762," 52762 (1998 MT24)",Y,N,0,6.742,,,,,3.76
20052768," 52768 (1998 OR2)",Y,Y,0,1.75,,,,,3.67
20053319," 53319 (1999 JM8)",Y,Y,0,7.,,,,,4.49
20053430," 53430 (1999 TY16)",Y,N,0,1.233,,,,,3.04
20053789," 53789 (2000 ED104)",Y,Y,0,0.843,,,,,1.6
20054401," 54401 (2000 LM)",Y,N,0,1.189,,,,,2.24
20054686," 54686 (2001 DU8)",Y,N,0,1.349,,,,,2.37
20054789," 54789 (2001 MZ7)",Y,N,0,1.567,,,,,2.37
20055408," 55408 (2001 TC2)",Y,N,0,0.461,,,,,1.15
20055532," 55532 (2001 WG2)",Y,N,0,1.306,,,,,2.4
20065679," 65679 (1989 UQ)",Y,Y,0,0.918,,,,,0.875
20065803," 65803 Didymos (1996 GT)",Y,Y,1,0.78,,,,,2.11
20066008," 66008 (1998 QH2)",Y,N,0,1.484,,,,,1.7
20066146," 66146 (1998 TU3)",Y,N,0,2.864,,,,,0.699
20066251," 66251 (1999 GJ2)",Y,N,0,1.222,,,,,1.9
20066272," 66272 (1999 JW6)",Y,N,0,0.808,,,,,1.85
20066391," 66391 Moshup (1999 KW4)",Y,Y,1,1.317,,,,,0.515
20066400," 66400 (1999 LT7)",Y,N,0,0.411,,,,,0.791
20068063," 68063 (2000 YJ66)",Y,N,1,2.301,,,,,3.57
20068216," 68216 (2001 CV26)",Y,Y,0,0.994,,,,,1.52
20068267," 68267 (2001 EA16)",Y,N,0,0.875,,,,,1.85
20068278," 68278 (2001 FC7)",Y,N,0,0.942,,,,,1.72
20068346," 68346 (2001 KZ66)",Y,Y,0,0.736,,,,,1.85
20068348," 68348 (2001 LO7)",Y,N,0,3.512,,,,,3.16
20068350," 68350 (2001 MK3)",Y,N,0,1.794,,,,,2.16
20068548," 68548 (2001 XR31)",Y,Y,0,1.182,,,,,2.23
20068950," 68950 (2002 QF15)",Y,Y,0,1.650,,,,,1.09
20085182," 85182 (1991 AQ)",Y,Y,0,1.1,,,,,3.31
20085275," 85275 (1994 LY)",Y,N,0,2.506,,,,,2.6
20085628," 85628 (1998 KV2)",Y,N,1,0.775,,,,,2.01
20085709," 85709 (1998 SG36)",Y,N,0,2.230,,,,,2.11
20085713," 85713 (1998 SS49)",Y,Y,0,3.484,,,,,2.67
20085774," 85774 (1998 UT18)",Y,Y,0,0.939,,,,,1.66
