full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y,pdes,name
20097 (1994 UL2),N,N,0,20.010,,,,,5.64,20097,
20098 Shibatagenji (1994 WC2),N,N,0,18.003,,,,,4.63,20098,Shibatagenji
20099 (1994 WB3),N,N,0,15.03,,,,,5.51,20099,
20101 (1994 XM2),N,N,0,19.459,,,,,5.56,20101,
20144 (1996 RA33),N,N,0,27.467,,,,,11.8,20144,
20210 (1997 GQ7),N,N,0,19.704,,,,,4.62,20210,
20395 (1998 MY29),N,N,0,16.265,,,,,4.84,20395,
20424 (1998 VF30),N,N,0,45.804,,,,,11.9,20424,
20427 Hjalmar (1998 VX44),N,N,0,17.924,,,,,5.56,20427,Hjalmar
20428 (1998 WG20),N,N,0,27.176,,,,,11.8,20428,
20523 (1999 RZ41),N,N,0,18.286,,,,,5.66,20523,
20543 (1999 RZ98),N,N,0,18.073,,,,,5.77,20543,
20569 (1999 RP132),N,N,0,17.297,,,,,5.67,20569,
20602 (1999 RC198),N,N,0,23.684,,,,,5.58,20602,
20617 (1999 SA7),N,N,0,17.496,,,,,5.81,20617,
20628 (1999 TS40),N,N,0,17.936,,,,,8.04,20628,
20635 (1999 TV96),N,N,0,23.612,,,,,5.77,20635,
20664 Senec (1999 UV4),N,N,0,15.156,,,,,6.48,20664,Senec
20676 (1999 VA7),N,N,0,17.570,,,,,5.78,20676,
20679 (1999 VU9),N,N,0,17.101,,,,,5.79,20679,
20707 (1999 WW4),N,N,0,24.46,,,,,5.64,20707,
20713 (1999 XA32),N,N,0,20.690,,,,,5.57,20713,
20716 (1999 XG91),N,N,0,26.367,,,,,12,20716,
20718 (1999 XZ97),N,N,0,23.030,,,,,6.38,20718,
20720 (1999 XP101),N,N,0,34.120,,,,,12.1,20720,
20729 (1999 XS143),N,N,0,50.961,,,,,11.9,20729,
20734 (1999 XA169),N,N,0,23.992,,,,,5.44,20734,
20739 (1999 XM193),N,N,0,27.043,,,,,11.9,20739,
20743 (2000 AR6),N,N,0,20.546,,,,,5.81,20743,
20755 (2000 BX6),N,N,0,15.382,,,,,5.54,20755,
20762 (2000 EE36),N,N,0,24.079,,,,,5.56,20762,
20898 Fountainhills (2000 WE147),N,N,0,37.31,,,,,8.87,20898,Fountainhills
20995 (1985 VY),N,N,0,26.203,,,,,11.5,20995,
21018 (1988 VV1),N,N,0,15.082,,,,,4.99,21018,
21047 Hodierna (1990 SE5),N,N,0,16.029,,,,,7.92,21047,Hodierna
21062 Iasky (1991 JW1),N,N,0,19.034,,,,,5.31,21062,Iasky
21065 Jamesmelka (1991 NM),N,N,0,15.452,,,,,5.56,21065,Jamesmelka
21128 Chapuis (1993 BJ5),N,N,0,18.388,,,,,7.87,21128,Chapuis
21161 Yamashitaharuo (1993 TR1),N,N,0,18.980,,,,,5.64,21161,Yamashitaharuo
21164 (1993 UZ7),N,N,0,16.587,,,,,5.65,21164,
21224 (1995 DM6),N,N,0,20.138,,,,,5.62,21224,
21271 (1996 RF33),N,N,0,21.115,,,,,11.7,21271,
21284 Pandion (1996 TC51),N,N,0,28.550,,,,,11.9,21284,Pandion
21370 (1997 TB28),N,N,0,29.196,,,,,11.9,21370,
21542 Kennajeannet (1998 QA22),N,N,0,15.278,,,,,5.66,21542,Kennajeannet
21554 Leechaohsi (1998 QR69),N,N,0,15.196,,,,,5.53,21554,Leechaohsi
21555 Levary (1998 QF70),N,N,0,18.887,,,,,5.71,21555,Levary
21564 Widmanstatten (1998 QQ101),N,N,0,18.289,,,,,5.45,21564,Widmanstatten
21570 Muralidhar (1998 RK33),N,N,0,17.78,,,,,4.18,21570,Muralidhar
21578 (1998 SN27),N,N,0,17.247,,,,,4.32,21578,
21583 Caropietsch (1998 SQ108),N,N,0,18.108,,,,,5.61,21583,Caropietsch
21586 Pourkaviani (1998 SU129),N,N,0,17.113,,,,,5.45,21586,Pourkaviani
21587 Christopynn (1998 SE132),N,N,0,20.509,,,,,4.81,21587,Christopynn
21593 (1998 VL27),N,N,0,21.922,,,,,11.5,21593,
21595 (1998 WJ5),N,N,0,35.178,,,,,11.9,21595,
21599 (1998 WA15),N,N,0,28.312,,,,,11.9,21599,
21601 (1998 XO89),N,N,0,54.909,,,,,12,21601,
21602 Ialmenus (1998 YW1),N,N,0,16.353,,,,,11.9,21602,Ialmenus
21766 (1999 RW208),N,N,0,18.031,,,,,4.47,21766,
21867 (1999 TQ251),N,N,0,15.436,,,,,6.21,21867,
21900 Orus (1999 VQ10),N,N,0,50.810,,,,,11.6,21900,Orus
21930 (1999 VP61),N,N,0,18.161,,,,,7.88,21930,
21967 (1999 WS9),N,N,0,19.650,,,,,4.39,21967,
22008 (1999 XM71),N,N,0,24.879,,,,,11.7,22008,
22009 (1999 XK77),N,N,0,21.915,,,,,11.9,22009,
22014 (1999 XQ96),N,N,0,39.487,,,,,11.7,22014,
22035 (1999 XR170),N,N,0,23.739,,,,,11.8,22035,
22041 (1999 XK192),N,N,0,21.644,,,,,11.7,22041,
22043 (1999 XW204),N,N,0,16.655,,,,,4.78,22043,
22044 (1999 XS206),N,N,0,20.654,,,,,5.82,22044,
22046 (1999 XU211),N,N,0,17.791,,,,,5.78,22046,
22049 (1999 XW257),N,N,0,19.101,,,,,11.7,22049,
22050 (1999 YV13),N,N,0,15.690,,,,,4.98,22050,
22052 (2000 AQ14),N,N,0,27.680,,,,,11.8,22052,
22054 (2000 AP21),N,N,0,34.000,,,,,11.9,22054,
22055 (2000 AS25),N,N,0,31.816,,,,,12.1,22055,
22056 (2000 AU31),N,N,0,24.775,,,,,11.7,22056,
22058 (2000 AA64),N,N,0,17.105,,,,,8.02,22058,
22059 (2000 AD75),N,N,0,25.376,,,,,11.8,22059,
22070 (2000 AN106),N,N,0,18.793,,,,,7.93,22070,
22071 (2000 AB107),N,N,0,18.354,,,,,5.68,22071,
22086 (2000 AG170),N,N,0,15.550,,,,,5.59,22086,
22097 (2000 BH4),N,N,0,24.72,,,,,5.64,22097,
22149 (2000 WD49),N,N,0,48.190,,,,,11.8,22149,
22177 Saotome (2000 XS38),N,N,0,22.097,,,,,5.64,22177,Saotome
22180 (2000 YZ),N,N,0,39.753,,,,,11.8,22180,
22185 Stiavnica (2000 YV28),N,N,0,20.568,,,,,5.72,22185,Stiavnica
22203 Prothoenor (6020 P-L),N,N,0,24.605,,,,,11.9,22203,Prothoenor
22279 (1984 DM),N,N,0,23.771,,,,,5.57,22279,
22289 (1988 XV1),N,N,0,16.726,,,,,5.52,22289,
22401 Egisto (1995 DP3),N,N,0,15.491,,,,,5.76,22401,Egisto
22503 Thalpius (1997 TB12),N,N,0,15.704,,,,,11.9,22503,Thalpius
22673 (1998 QR38),N,N,0,16.664,,,,,5.56,22673,
22714 (1998 SR2),N,N,0,15.944,,,,,5.73,22714,
22743 (1998 TD18),N,N,0,15.358,,,,,5.6,22743,
22754 Olympus (1998 WJ8),N,N,0,21.999,,,,,5.54,22754,Olympus
22805 (1999 RR2),N,N,0,15.730,,,,,5.6,22805,
22955 (1999 TH251),N,N,0,16.492,,,,,4.63,22955,
23030 Jimkennedy (1999 XR7),N,N,0,19.881,,,,,5.09,23030,Jimkennedy
23075 (1999 XV83),N,N,0,33.744,,,,,11.8,23075,
23078 (1999 XB95),N,N,0,17.685,,,,,5.67,23078,
23099 (1999 XA160),N,N,0,29.213,,,,,5.57,23099,
23101 (1999 XP164),N,N,0,18.216,,,,,5.18,23101,
23106 (1999 XM191),N,N,0,16.617,,,,,5.64,23106,
23119 (2000 AP33),N,N,0,32.954,,,,,12.1,23119,
23123 (2000 AU57),N,N,0,25.883,,,,,12.3,23123,
23126 (2000 AK95),N,N,0,23.411,,,,,12.1,23126,
23129 (2000 AO100),N,N,0,19.555,,,,,5.39,23129,
23135 Pheidas (2000 AN146),N,N,0,66.230,,,,,12.1,23135,Pheidas
23144 (2000 AY182),N,N,0,19.007,,,,,12.1,23144,
23152 (2000 CS8),N,N,0,19.483,,,,,11.9,23152,
23174 (2000 HM40),N,N,0,23.540,,,,,7.84,23174,
23186 (2000 PO8),N,N,0,28.210,,,,,7.99,23186,
23269 (2000 YH62),N,N,0,24.114,,,,,11.9,23269,
23285 (2000 YH119),N,N,0,29.690,,,,,11.6,23285,
23382 Epistrophos (4536 T-2),N,N,0,23.995,,,,,12,23382,Epistrophos
