Display Name,Sun Coords X,Sun Coords Y,Sun Coords Z,Velocity X,Velocity Y,Velocity Z, sec
Pannekoek,-1.64170154114821,-2.69884885565194,0.6806294175004993,0.007375341107596339,-0.004972137543190309,0.001292243977433602,"11, 19"
Heiskanen,-3.842123895599484,0.1564780759260945,0.01404641590743527,0.001064594216007822,-0.007702827420343778,5.126454615450679e-05,"14, 14"
Nonie,1.007012875732407,2.721021135060682,-0.1136774658388122,-0.006433453799333477,0.005600364216490821,-0.004899168184049241,"10, 5"
Nezarka,-1.668609583868349,2.459578504462042,0.198645021342762,-0.007858677675892538,-0.004653596446166635,-0.001507855719074003,"10, 10"
Tomita,2.345904597524122,0.1861796228420304,-0.04515761337894023,-0.002381785624362302,0.01114489612685888,-0.0005253891036083922,"8, 0"
Suzuki,2.578205475406589,0.7402120499294241,0.2278697547177514,-0.001833822382833218,0.01104031490452613,-0.001674810744913148,"9, 1"
Nadeev,2.842419856583172,-0.3190586445876265,-0.05852449950169162,-0.0008791083598804525,0.01061738535442615,-0.0001640228949792598,"10, 29"
Aho,0.2386098933996385,3.22101736176784,-0.004636339394857308,-0.009320605162411354,0.0007202954916557972,4.69964009300736e-05,"11, 7"
Lappajarvi,-2.558630090282249,1.240522656403716,0.07609434630578879,-0.005938803474382168,-0.008566298694918952,0.001892761180197921,"10, 12"
Antarctica,3.184155130558723,0.2801670431939497,-0.1445017433951264,0.0003943189199970129,0.009490712915411313,-0.0001759608298923702,"11, 0"
Welch,-0.5185920233895766,-3.407297472270172,0.09873866813151945,0.008570759203247498,-0.002372294200803202,-0.0002080973732117905,"12, 21"
Haug,-1.848737437865102,-2.4977728832962,-0.127143211439856,0.00860100885346265,-0.003887649242300486,-4.551365954102304e-05,"11, 19"
Astapovich,-1.833576667288892,-1.081684845135159,0.490833140840283,0.008491920599254191,-0.009075820814696602,0.002060008261090919,"7, 17"
van de Hulst,-0.4336380579558948,2.659140245365659,-0.4666776179312638,-0.01082328668668199,-0.0008730612026250667,0.0006378983951087926,"9, 8"
Vibeke,-0.5867739955849964,2.767010382542427,0.8213672443849533,-0.01036336551037184,-0.0009139646305796,-0.0004411347246332649,"10, 8"
Ganesa,-1.410242711699284,-2.187615746516178,0.05796427271781013,0.009226224556753903,-0.005550116284804799,-0.0003832080847104392,"9, 19"
Sharonov,-2.906460926254949,-0.3371892609166893,0.3364784824781701,0.001748685946665607,-0.009884093536372675,0.001391358602973276,"10, 15"
McVittie,3.155329178402038,-1.573206983727175,-0.1787332436261509,0.002244320904296289,0.008334428976886972,-7.827161498970986e-05,"13, 27"
Nininger,1.31120506729421,-2.872073224640415,-0.3433180775077823,0.008549011008368485,0.004478874281623149,-0.001325978086468571,"11, 24"
Shenzhen,2.828029769429271,0.5314292732933015,-0.3689895105965884,-0.0008365634864504671,0.01014705067843254,0.001312615097181266,"10, 0"
Simonov,-1.909623045309271,2.282557628555435,-0.4257019600022487,-0.006682904327985703,-0.007097186302429769,-0.0002556661434909577,"10, 10"
Kamenyar,-2.575807282082639,2.172025181092436,0.4128526700266026,-0.00627107148421454,-0.006377216584839072,-0.0008880266685149462,"12, 11"
Bateson,-1.462277502623021,-2.408239984253242,-0.410729304740247,0.00969553592274704,-0.003649975889781964,-0.002147337965683692,"10, 19"
Hatshepsut,-1.635391282039342,2.474328213354735,-0.2032986247941163,-0.008167549654640253,-0.006267754818866873,-0.0001955177833882486,"10, 10"
Ulugbek,-2.897411350996876,-1.559618436396679,0.01675688851156836,0.003196016418347439,-0.00868392147848117,4.32114156064852e-06,"12, 17"
Tomeileen,1.867566854713872,2.434512491615131,-0.568061758185746,-0.00770081609155426,0.005599738443710366,0.0008241139607992128,"11, 4"
Lederle,-2.620806373115129,0.5493376908717702,-0.6395329345474559,-0.003081629233619159,-0.00972987741462263,-0.001524907502423461,"9, 14"
Sholokhov,2.794365935167078,1.047886919961368,-0.8913109293133971,-0.003427591002678797,0.008446682725727269,-0.0009453792467391833,"10, 1"
Ioannisiani,-1.210491325652969,2.945393634213778,-0.01027165559277088,-0.00838027780772155,-0.004534151690469435,0.0004202512571718507,"11, 9"
Wabash,-2.528022896119691,-1.989221429801187,-0.2617596409436395,0.006347875080600145,-0.006566266999571494,-0.001404266040375106,"11, 18"
Somville,-2.79293746545796,0.2849115271108644,-0.2987184947265342,-0.001714401865332286,-0.009871686379652921,-0.0008594125317142323,"10, 14"
Palamedes,-3.822638599643451,3.237607735484531,0.1647851893619988,-0.00533806818049816,-0.005347991842538275,-0.001828405283907547,"19, 11"
Veniakaverin,-3.269783100304109,1.246419140420677,0.0655997683440495,-0.002423189340856745,-0.008276443661229966,0.0002557194832404514,"12, 13"
Spellmann,1.709616945243604,2.227705609186537,-0.1347844051227481,-0.008525068130602413,0.006083781197787085,-0.001698656008662036,"10, 4"
Clavel,0.9991772738737025,2.852478545619483,-0.09417329456029953,-0.008888003571123553,0.004872021644769118,0.0002569032577290458,"11, 5"
Nordenskiold,-2.883609883198858,-1.877052456434561,-0.02146613475652778,0.003461754298436106,-0.008198481129895635,-0.0001261144152710969,"12, 17"
Golson,0.3902438422637475,2.495959056449212,-0.2203880391196716,-0.01046388262729174,0.003428918492848946,3.786083608493594e-05,"9, 6"
Ultrajectum,-1.065003556922041,3.025476228162089,0.5807173357264774,-0.008626834228709178,-0.002900824609500947,-7.809161351399222e-05,"11, 9"
Ruby,2.185225542836703,2.317067621621234,0.08099765972892038,-0.005504325020886838,0.006642513670212819,-0.001083139246044402,"11, 3"
Andersen,1.433362655061524,-2.350118975360151,-0.3325766059780769,0.008535000210064137,0.006377514533674293,-0.00145313725069476,"10, 25"
Biryukov,-2.263710941578332,1.771203539088212,-0.2813608878779914,-0.005230834646206076,-0.007847736174994433,0.0004758541858446124,"10, 11"
